id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
TZJHLljE,False,2017-08-31 20:06:40,2017-08-31 20:06:40,13,outoftime,white,15+2,bourgris,1500,a-00,1191,1. d4 d5 2. c4 c6 3. cxd5 e6 4. dxe6 fxe6 5. Nf3 Bb4+ 6. Nc3 Ba5 7. Bf4,D10,Slav Defense: Exchange Variation,5
l1NXvwaE,True,2017-08-30 21:53:20,2017-08-30 21:53:20,16,resign,black,5+10,a-00,1322,skinnerua,1261,1. d4 Nc6 2. e4 e5 3. f4 f6 4. dxe5 fxe5 5. fxe5 Nxe5 6. Qd4 Nc6 7. Qe5+ Nxe5 8. c4 Bb4+,B00,Nimzowitsch Defense: Kennedy Variation,4
mIICvQHh,True,2017-08-30 21:53:20,2017-08-30 21:53:20,61,mate,white,5+10,ischia,1496,a-00,1500,1. e4 e5 2. d3 d6 3. Be3 c6 4. Be2 b5 5. Nd2 a5 6. a4 c5 7. axb5 Nc6 8. bxc6 Ra6 9. Nc4 a4 10. c3 a3 11. Nxa3 Rxa3 12. Rxa3 c4 13. dxc4 d5 14. cxd5 Qxd5 15. exd5 Be6 16. Ra8+ Ke7 17. Bc5+ Kf6 18. Bxf8 Kg6 19. Bxg7 Kxg7 20. dxe6 Kh6 21. exf7 Nf6 22. Rxh8 Nh5 23. Bxh5 Kg5 24. Rxh7 Kf5 25. Qf3+ Ke6 26. Bg4+ Kd6 27. Rh6+ Kc5 28. Qe3+ Kb5 29. c4+ Kb4 30. Qc3+ Ka4 31. Bd1#,C20,King's Pawn Game: Leonardis Variation,3
kWKvrqYL,True,2017-08-30 16:20:00,2017-08-30 16:20:00,61,mate,white,20+0,daniamurashov,1439,adivanov2009,1454,1. d4 d5 2. Nf3 Bf5 3. Nc3 Nf6 4. Bf4 Ng4 5. e3 Nc6 6. Be2 Qd7 7. O-O O-O-O 8. Nb5 Nb4 9. Rc1 Nxa2 10. Ra1 Nb4 11. Nxa7+ Kb8 12. Nb5 Bxc2 13. Bxc7+ Kc8 14. Qd2 Qc6 15. Na7+ Kd7 16. Nxc6 bxc6 17. Bxd8 Kxd8 18. Qxb4 e5 19. Qb8+ Ke7 20. dxe5 Be4 21. Ra7+ Ke6 22. Qe8+ Kf5 23. Qxf7+ Nf6 24. Nh4+ Kg5 25. g3 Ng4 26. Qf4+ Kh5 27. Qxg4+ Kh6 28. Qf4+ g5 29. Qf6+ Bg6 30. Nxg6 Bg7 31. Qxg7#,D02,Queen's Pawn Game: Zukertort Variation,3
9tXo1AUZ,True,2017-08-29 18:06:40,2017-08-29 18:06:40,95,mate,white,30+3,nik221107,1523,adivanov2009,1469,1. e4 e5 2. Nf3 d6 3. d4 Nc6 4. d5 Nb4 5. a3 Na6 6. Nc3 Be7 7. b4 Nf6 8. Bg5 O-O 9. b5 Nc5 10. Bxf6 Bxf6 11. Bd3 Qd7 12. O-O Nxd3 13. Qxd3 c6 14. a4 cxd5 15. Nxd5 Qe6 16. Nc7 Qg4 17. Nxa8 Bd7 18. Nc7 Rc8 19. Nd5 Qg6 20. Nxf6+ Qxf6 21. Rfd1 Re8 22. Qxd6 Bg4 23. Qxf6 gxf6 24. Rd3 Bxf3 25. Rxf3 Rd8 26. Rxf6 Kg7 27. Rf3 Rd2 28. Rg3+ Kf8 29. c3 Re2 30. f3 Rc2 31. Rg5 f6 32. Rh5 Kg7 33. Rd1 Kg6 34. Rh3 Rxc3 35. Rd7 Rc1+ 36. Kf2 Rc2+ 37. Kg3 h5 38. Rxb7 Kg5 39. Rxa7 h4+ 40. Rxh4 Rxg2+ 41. Kxg2 Kxh4 42. b6 Kg5 43. b7 f5 44. exf5 Kxf5 45. b8=Q e4 46. Rf7+ Kg5 47. Qg8+ Kh6 48. Rh7#,C41,Philidor Defense,5
MsoDV9wj,False,2017-09-01 04:26:40,2017-09-01 04:26:40,5,draw,draw,10+0,trelynn17,1250,franklin14532,1002,1. e4 c5 2. Nf3 Qa5 3. a3,B27,Sicilian Defense: Mongoose Variation,4
qwU9rasv,True,2017-09-01 01:40:00,2017-09-01 01:40:00,33,resign,white,10+0,capa_jr,1520,daniel_likes_chess,1423,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 Nc6 6. Bb5 a6 7. Bd3 Bg4 8. O-O Nxd4 9. Be2 Nxe2+ 10. Qxe2 Bxf3 11. Qxf3 Qd4+ 12. Be3 Qg4 13. Qxb7 Rd8 14. Qc6+ Nd7 15. Nd5 e6 16. Nxc7+ Ke7 17. Bd2,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10
RVN0N3VK,False,2017-08-25 16:53:20,2017-08-25 16:53:20,9,resign,black,15+30,daniel_likes_chess,1413,soultego,2108,1. e4 Nc6 2. d4 e5 3. d5 Nce7 4. c3 Ng6 5. b4,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
dwF3DJHO,True,2017-08-23 17:40:00,2017-08-23 17:40:00,66,resign,black,15+0,ehabfanri,1439,daniel_likes_chess,1392,1. e4 e5 2. Bc4 Nc6 3. Nf3 Nd4 4. d3 Nxf3+ 5. Qxf3 Nf6 6. h3 Bc5 7. a3 O-O 8. Be3 Bxe3 9. Qxe3 Re8 10. Qf3 c6 11. Nc3 b5 12. Bb3 Qa5 13. O-O Bb7 14. Ne2 c5 15. Rfd1 d6 16. c4 bxc4 17. dxc4 Rac8 18. Rd5 Bxd5 19. exd5 Qb6 20. Nc1 e4 21. Qf4 Nh5 22. Qg4 Nf6 23. Qf4 Qa5 24. Bc2 Qe1+ 25. Kh2 Nh5 26. Qxd6 Qxf2 27. Bxe4 Rxe4 28. Nd3 Qg3+ 29. Kg1 Qxd3 30. Rf1 Rce8 31. Qd7 Qe3+ 32. Kh1 Ng3+ 33. Kh2 Nxf1+,C50,Italian Game: Schilling-Kostic Gambit,6
afoMwnLg,True,2017-08-22 22:13:20,2017-08-22 22:13:20,119,mate,white,10+0,daniel_likes_chess,1381,mirco25,1209,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Na6 5. d4 Qf5 6. Bxa6 bxa6 7. Nf3 Qe6+ 8. Be3 Bb7 9. Ng5 Qc4 10. Qh5 Bxg2 11. Qxf7+ Qxf7 12. Nxf7 Kxf7 13. Rg1 Bf3 14. Rg3 Bh5 15. Rh3 g6 16. Ne4 Nf6 17. Nc5 e6 18. Nxa6 Rc8 19. Bf4 Bg4 20. Rg3 c6 21. Nb4 Bxb4+ 22. c3 Ba5 23. b4 Bc7 24. Bxc7 Rxc7 25. Rb1 e5 26. dxe5 Re8 27. f4 Rd7 28. Kf2 Rd2+ 29. Kg1 Rxa2 30. exf6 Kxf6 31. Rxg4 Kf5 32. Rg2 Rxg2+ 33. Kxg2 Re2+ 34. Kf3 Re4 35. Ra1 Rxf4+ 36. Kg3 Rg4+ 37. Kh3 h5 38. Rxa7 g5 39. Rf7+ Kg6 40. Rf3 Rf4 41. Rxf4 gxf4 42. Kg2 Kg5 43. c4 h4 44. b5 cxb5 45. cxb5 Kg4 46. b6 f3+ 47. Kf2 Kf4 48. b7 h3 49. b8=Q+ Ke4 50. Qb4+ Kd5 51. Kxf3 Ke5 52. Kg3 Kf6 53. Qe4 Kg5 54. Qf3 Kh6 55. Qg4 Kh7 56. Qg5 Kh8 57. Kf4 Kh7 58. Kf5 Kh8 59. Kf6 Kh7 60. Qg7#,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
